 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  2; 11; 15.0000;105.0000; 26646;     0;     0;     0; 26646;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.028404;0.040228;0.068632;0.028404;0.040228;0.068632;0.028404;0.040228;0.068632
 All;  2; 12; 15.0000;115.0000; 26641;     0;     0;     0; 26641;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.033260;0.040228;0.073488;0.033260;0.040228;0.073488;0.033260;0.040228;0.073488
 All;  2; 13; 15.0000;125.0000; 26658;     0;     0;     0; 26658;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.047275;0.040228;0.087502;0.047275;0.040228;0.087502;0.047275;0.040228;0.087502
 All;  2; 14; 15.0000;135.0000; 23364;     0;     0;  3263; 26627;0.004677;0.000000;0.004677;0.877455;1.000000;0.877455;0.973829;1.000000;0.973829;0.410386;0.410386;0.002412;0.001570;0.083117;0.040228;0.123345;0.083117;0.040228;0.123345;0.080942;0.035298;0.116240
 All;  2; 15; 15.0000;145.0000; 22349;     0;     0;  4292; 26641;0.004677;0.000000;0.004677;0.838895;1.000000;0.838895;1.000000;1.000000;1.000000;0.392351;0.392351;0.002412;0.001570;0.037878;0.040228;0.078106;0.037878;0.040228;0.078106;0.037878;0.033747;0.071625
 All;  2; 16; 15.0000;155.0000; 22502;     0;     0;  4143; 26645;0.004677;0.000000;0.004677;0.844511;1.000000;0.844511;1.000000;1.000000;1.000000;0.394978;0.394978;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.033973;0.033973
 All;  2; 17; 15.0000;165.0000;  9288;     0;     0; 17353; 26641;0.004677;0.000000;0.004677;0.348636;1.000000;0.348636;1.000000;1.000000;1.000000;0.163057;0.163057;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.014025;0.014025
 All;  2; 18; 15.0000;175.0000; 17974;     0;     0;  8654; 26628;0.004677;0.000000;0.004677;0.675004;1.000000;0.675004;1.000000;1.000000;1.000000;0.315699;0.315699;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.027154;0.027154
 All;  2; 19; 15.0000;185.0000; 26603;     0;     0;    39; 26642;0.004677;0.000000;0.004677;0.998536;1.000000;0.998536;1.000000;1.000000;1.000000;0.467015;0.467015;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.040169;0.040169
 All;  2; 20; 15.0000;195.0000; 26646;     0;     0;     0; 26646;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228
 All;  2; 21; 15.0000;205.0000; 26641;     0;     0;     0; 26641;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228
 All;  2; 22; 15.0000;215.0000; 26658;     0;     0;     0; 26658;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.038268;0.040228;0.078495;0.038268;0.040228;0.078495;0.038268;0.040228;0.078495
 All;  2; 23; 15.0000;225.0000; 26627;     0;     0;     0; 26627;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.082897;0.040228;0.123124;0.082897;0.040228;0.123124;0.082897;0.040228;0.123124
